,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,Jean Butez,fr FRA,GK,Como,31-077,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f40333d
35,Alessio Cacciamani,it ITA,MF,Torino,19-056,2007,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2028c5c3
36,Hakan Çalhanoğlu,tr TUR,MF,Inter,32-197,1994,1,1,53,0.6,1,0,1,1,0,0,1,0,1.70,0.00,1.70,1.70,1.70,Matches,cd0fa27b
37,Giacomo Calò,it ITA,MF,Frosinone,29-200,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2ed2e04
38,Gabriele Calvani,it ITA,DF,Frosinone,22-224,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,253a68ea
39,Andrea Cambiaso,it ITA,DFMF,Juventus,26-185,2000,1,0,22,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,247ed022
40,Elia Caprile,it ITA,GK,Cagliari,24-364,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97d7afbd
41,Maxence Caqueret,fr FRA,MF,Como,26-190,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f81ef10d
42,Andrea Carboni,it ITA,DF,Monza,25-201,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7e2af2c
43,Marco Carnesecchi,it ITA,GK,Atalanta,26-054,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ec56e62
44,Cesare Casadei,it ITA,MF,Torino,23-226,2003,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb920f3a
45,Zeki Çelik,tr TUR,DF,Juventus,29-188,1997,1,1,68,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31a62dc7
46,Trevoh Chalobah,eng ENG,DF,Como,27-050,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5515376c
47,Matteo Chichella,it ITA,MF,Frosinone,20-324,2005,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57ad9bf4
48,Samuel Chukwueze,ng NGA,MF,Milan,27-094,1999,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,b8a642fc
49,Riccardo Ciervo,it ITA,MF,Sassuolo,24-145,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da77b60b
50,Simone Cinquegrano,it ITA,DF,Sassuolo,22-060,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af9b8617
51,Alphadjo Cissè,it ITA,MF,Milan,19-306,2006,1,1,65,0.7,1,0,1,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,Matches,d079becb
52,Giorgio Cittadini,it ITA,DF,Frosinone,24-128,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4ba67f2
53,Saúl Coco,gq EQG,DF,Torino,27-196,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0ee1652
54,Lorenzo Colombo,it ITA,FW,Genoa,24-169,2002,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04df29a5
55,Andrea Colpani,it ITA,FW,Monza,27-105,1999,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6499048c
56,Pietro Comuzzo,it ITA,DF,Torino,21-185,2005,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e3ecc35
57,Francisco Conceição,pt POR,MF,Juventus,23-253,2002,1,1,68,0.8,0,1,1,0,0,0,0,0,0.00,1.32,1.32,0.00,1.32,Matches,5ef3d210
58,Thierry Correia,pt POR,MF,Venezia,27-168,1999,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c78b352d
59,Edoardo Corvi,it ITA,GK,Parma,25-154,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a89398db
60,Lassana Coulibaly,ml MLI,MF,Lecce,30-136,1996,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,85a44ecc
61,Yan Couto,br BRA,DF,Como,24-082,2002,1,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1944818c
62,Ben Cremaschi,us USA,MF,Parma,21-175,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03a446a2
63,Patrick Cutrone,it ITA,FW,Monza,28-233,1998,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4fe8cda
64,Lucas Da Cunha,fr FRA,MF,Como,25-076,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,007faf7a
65,Matteo Dagasso,it ITA,MF,Venezia,22-145,2004,1,0,21,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a13d62a9
66,Kevin De Bruyne,be BEL,FWMF,Napoli,35-057,1991,1,0,24,0.3,1,1,2,1,0,0,0,0,3.75,3.75,7.50,3.75,7.50,Matches,e46012d4
67,Charles De Ketelaere,be BEL,FWMF,Atalanta,25-167,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ef7c612
68,Koni De Winter,be BEL,DF,Milan,24-073,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4797849
69,Alessandro Deiola,it ITA,DF,Cagliari,31-023,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f267d66
70,Filippo Delli Carri,it ITA,DF,Monza,27-113,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2e8fd9b
71,Enrico Delprato,it ITA,DF,Parma,26-287,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c6f9258
72,Giovanni Di Lorenzo,it ITA,DF,Napoli,33-020,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,230a2fac
73,Ousmane Diallo,es ESP,FW,Parma,19-073,2007,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,959a585a
74,Assane Diao,sn SEN,MF,Como,20-351,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ae7d0ec
75,Federico Dimarco,it ITA,MF,Inter,28-287,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,970b8574
76,Andy Diouf,fr FRA,MF,Inter,23-099,2003,1,1,74,0.8,0,2,2,0,0,0,0,0,0.00,2.43,2.43,0.00,2.43,Matches,9b5237b1
