,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
143,Douglas Luiz,br BRA,MF,Juventus,28-107,1998,1,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f7d826d
144,Tommaso Macchioni,it ITA,DF,Sassuolo,20-142,2006,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78c5642e
145,Mike Maignan,fr FRA,GK,Milan,31-052,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fcb38f57
146,Daniel Maldini,it ITA,MF,Cagliari,24-317,2001,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,801831fe
147,Youssef Maleh,ma MAR,MF,Lecce,28-002,1998,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c8845f7
148,Ricardo Mangas,pt POR,FW,Monza,28-158,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eef2d8ce
149,Alessandro Marcandalli,it ITA,DF,Genoa,23-303,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3225ad1
150,Rafa Marín,es ESP,DF,Napoli,24-097,2002,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3239a8ed
151,Josep Martinez,es ESP,GK,Inter,28-089,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11d8aff0
152,Lautaro Martínez,ar ARG,FW,Inter,29-002,1997,1,1,53,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f7036e1c
153,Diego Mascardi,it ITA,GK,Torino,19-332,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,acf47c4a
154,Patrizio Masini,it ITA,MF,Frosinone,25-209,2001,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,151354b8
155,Nemanja Matić,rs SRB,MF,Sassuolo,38-023,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb7822d7
156,Weston McKennie,us USA,MF,Juventus,27-361,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01c3aff5
157,Scott McTominay,sct SCO,MF,Napoli,29-259,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d93c2511
158,Franz-Ethan Meichtry,ch SUI,MF,Genoa,21-047,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6e907945
159,Paul Mendy,sn SEN,FW,Cagliari,19-235,2007,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2bf26d08
160,Alex Meret,it ITA,GK,Napoli,29-155,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9413b19f
161,Junior Messias,br BRA,FWMF,Genoa,35-103,1991,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f49c4ae9
162,Luis Milla,es ESP,MF,Como,31-321,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19c36442
163,Lennon Miller,sct SCO,MF,Udinese,19-364,2006,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38d7f638
164,Luka Modrić,hr CRO,MF,Milan,40-349,1985,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6025fab1
165,Ilario Monterisi,it ITA,DF,Frosinone,24-248,2001,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31b252fc
166,Mathis Mout,it ITA,MF,Monza,19-018,2007,1,1,69,0.8,0,1,1,0,0,0,0,0,0.00,1.30,1.30,0.00,1.30,Matches,72760a59
167,Arijanet Muric,xk KVX,GK,Sassuolo,27-290,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,99aa1a84
168,Yunus Musah,us USA,MF,Milan,23-268,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b51b1b9c
169,Kingstone Mutandwa,zm ZAM,FW,Cagliari,23-231,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cbe32194
170,Konan N'dri,ne NIG,FW,Lecce,25-301,2000,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17329380
171,Corrie Ndaba,ie IRL,DFMF,Lecce,26-242,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4db55657
172,Michel Ndary Adopo,fr FRA,MF,Cagliari,26-036,2000,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,599d91d0
173,Abdoulaye Ndiaye,sn SEN,DF,Parma,24-136,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8cd2ae4
174,Oumar Ngom,mr MTN,MF,Lecce,22-168,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2fd5aca2
175,Alieu Njie,se SWE,FW,Torino,21-102,2005,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15918c9c
176,Brooke Norton-Cuffy,eng ENG,MF,Genoa,22-224,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54f5b2bd
177,Adam Obert,sk SVK,DF,Cagliari,24-001,2002,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa25ce92
178,Cas Odenthal,nl NED,DF,Sassuolo,25-332,2000,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,e14e10b1
179,Maduka Okoye,ng NGA,GK,Udinese,26-361,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab5c36dd
180,Mathías Olivera,uy URU,DFMF,Napoli,28-297,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41c12f75
181,Christian Ordoñez,ar ARG,MF,Parma,22-031,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d94b6d9
182,Sebastian Otoa,dk DEN,DF,Genoa,22-103,2004,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a214da59
183,Anthony Oyono,ga GAB,DFMF,Frosinone,25-134,2001,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68b7e72e
184,Matteo Palma,de GER,DF,Udinese,18-164,2008,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb2e6751
185,Lorenzo Palmisani,it ITA,GK,Frosinone,22-073,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7059209e
186,Mario Pašalić,hr CRO,MF,Atalanta,31-196,1995,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e599253a
187,Strahinja Pavlović,rs SRB,DF,Milan,25-092,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25146df0
188,Nicolás Paz,ar ARG,MF,Como,21-350,2004,1,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01bb93d5
189,Marcus Pedersen,no NOR,MF,Torino,26-039,2000,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,596cc50e
190,Zé Pedro Figueiredo,pt POR,DF,Cagliari,29-079,1997,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2063e21d
191,Kike Pérez,es ESP,MF,Venezia,29-191,1997,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,237a3851
192,Mattia Perin,it ITA,GK,Juventus,33-287,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c62d0c8
193,Máximo Perrone,ar ARG,MF,Como,23-229,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53552942
194,Santiago Pierotti,ar ARG,FW,Lecce,25-143,2001,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec315772
195,Jakub Piotrowski,pl POL,MF,Udinese,28-324,1997,1,1,70,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af686bed
196,Semuel Pizzignacco,it ITA,GK,Monza,24-357,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f537cf7
197,Matteo Politano,it ITA,FW,Napoli,33-021,1993,1,1,66,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e861944
198,Adrien Rabiot,fr FRA,MF,Milan,31-143,1995,1,0,35,0.4,1,1,2,1,0,0,0,0,2.57,2.57,5.14,2.57,5.14,Matches,8794e251
199,Antonio Raimondo,it ITA,FW,Frosinone,22-159,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce1a6c7e
200,Jacobo Ramón,es ESP,DF,Como,21-230,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4772b1d1
201,Gonçalo Ramos,pt POR,FW,Milan,25-065,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f63cda26
202,Giacomo Raspadori,it ITA,FW,Atalanta,26-187,2000,1,1,81,0.9,1,0,1,1,0,0,0,0,1.11,0.00,1.11,1.11,1.11,Matches,6e058f06
203,Jay Robinson,eng ENG,MF,Monza,19-162,2007,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a616c85
204,Jesus Rodríguez,es ESP,MF,Como,20-276,2005,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9f74e43
205,Juan Rodríguez,uy URU,DF,Cagliari,21-086,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f72c9d2
206,Alessandro Romano,ch SUI,MF,Cagliari,20-068,2006,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,e7b212fa
207,Albion Rrahmani,xk KVX,FW,Venezia,25-358,2000,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b61ea62
208,Amir Rrahmani,xk KVX,DF,Napoli,32-181,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b3e1a38
209,Alexis Saelemaekers,be BEL,MF,Milan,27-058,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee251371
210,Richie Sagrado,be BEL,MF,Venezia,22-206,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3e3190f1
211,Lazar Samardzic,rs SRB,MF,Atalanta,24-181,2002,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,217c93a1
212,Alisson Santos,br BRA,FW,Napoli,23-331,2002,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c67e9194
213,Giorgio Scalvini,it ITA,DF,Atalanta,22-256,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e9aa637
214,Gianluca Scamacca,it ITA,FW,Atalanta,27-235,1999,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8790f988
215,Joël Schingtienne,be BEL,DF,Venezia,24-012,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35a4790e
216,Romano Schmid,at AUT,MF,Frosinone,26-209,2000,1,1,58,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,220ace7e
217,Jamil Siebert,de GER,DF,Lecce,24-144,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5967328c
218,Éderson Silva,br BRA,MF,Atalanta,27-048,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9202def
219,Giovanni Simeone,ar ARG,FW,Torino,31-050,1995,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,343c0d52
220,Ivan Smolčić,hr CRO,DF,Como,26-007,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,08e57960
221,Oumar Solet,fr FRA,DF,Udinese,26-198,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0670ee51
222,Djibril Sow,ch SUI,MF,Genoa,29-199,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c6facae
223,Leonardo Spinazzola,it ITA,DF,Napoli,33-152,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3626daea
224,Aleksandar Stanković,rs SRB,MF,Inter,21-021,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,22cdb8a6
225,Filip Stankovic,rs SRB,GK,Venezia,24-180,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d34d8ed2
226,John Stones,eng ENG,DF,Inter,32-088,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5eecec3d
227,Nikola Štulić,rs SRB,FW,Lecce,24-350,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,557ada13
228,Petar Sučić,hr CRO,MF,Inter,22-303,2003,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,23fb46ea
229,Aleksa Terzić,rs SRB,DF,Frosinone,27-007,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ef0a2d7
230,Kristian Thorstvedt,no NOR,MF,Sassuolo,27-164,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,76ff8d0d
231,Mariano Troilo,ar ARG,DF,Parma,23-063,2003,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa2c1419
232,Emanuele Valeri,it ITA,DF,Parma,27-260,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec52b661
233,Álex Valle,es ESP,DF,Como,22-121,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97022551
234,Gustavo Varela,pt POR,FW,Monza,21-206,2005,1,1,82,0.9,1,0,1,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,Matches,d46ec7b4
235,Johan Vásquez,mx MEX,DF,Genoa,27-306,1998,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5eaed77a
236,Danilo Veiga,pt POR,DF,Lecce,23-333,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cc094532
237,Antonio Vergara,it ITA,MF,Napoli,23-220,2003,1,0,24,0.3,1,1,2,1,0,0,0,0,3.75,3.75,7.50,3.75,7.50,Matches,848c17ed
238,Guglielmo Vicario,it ITA,GK,Juventus,29-321,1996,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77d6fd4d
239,Vitinha,pt POR,MF,Genoa,26-162,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,74d4cec6
240,Nikola Vlašić,hr CRO,MF,Torino,28-324,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa8e289e
241,Mërgim Vojvoda,xk KVX,MF,Udinese,31-204,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be2706c0
242,Cristian Volpato,au AUS,FW,Sassuolo,22-282,2003,1,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72f87f25
243,Harry Winks,eng ENG,MF,Cagliari,30-203,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f7acede
244,John Yeboah,ec ECU,FW,Venezia,26-062,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8dfdc6c3
245,Kenan Yıldız,tr TUR,MF,Juventus,21-112,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d8cda243
246,Nicola Zalewski,pl POL,FW,Atalanta,24-213,2002,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45191c29
247,Nicolò Zaniolo,it ITA,MF,Udinese,27-053,1999,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9907b1c8
248,Gabriele Zappa,it ITA,DFMF,Cagliari,26-245,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca3db240
249,Davide Zappacosta,it ITA,DF,Atalanta,34-074,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7fe90ccd
250,Oier Zarraga,es ESP,MF,Udinese,27-232,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,968a1c2f
251,Alessio Zerbin,it ITA,FWMF,Frosinone,27-174,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d19ef4ef
252,Edon Zhegrova,xk KVX,MF,Juventus,27-146,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34a88e3e
253,Piotr Zieliński,pl POL,MF,Inter,32-096,1994,1,1,82,0.9,1,0,1,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,Matches,a5296e55
254,Adam Zulevic,sk SVK,FW,Genoa,18-344,2007,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c4ebf937
255,Leo Østigård,no NOR,DF,Genoa,26-269,1999,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b35a7399
