nome_tm,da_squadra,a_squadra,tipo,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style
Tommaso Vannucchi,ACF Fiorentina,Arzignano,prestito,1,0,1,0.0,equilibrato
Tommaso Martinelli,ACF Fiorentina,Avellino,prestito,1,0,1,0.0,equilibrato
Giulio Scuderi,ACF Fiorentina,Juve Stabia,prestito,1,0,1,0.0,equilibrato
Mirko Elia,ACF Fiorentina,Bari,prestito,1,0,1,0.0,equilibrato
Amir Richardson,ACF Fiorentina,Le Havre,prestito,1,0,1,0.0,equilibrato
Maat Daniel Caprini,ACF Fiorentina,Cesena,prestito,1,0,1,0.0,equilibrato
Lorenzo Romani,ACF Fiorentina,Carrarese,prestito,1,0,1,0.0,equilibrato
Eddy Kouadio,ACF Fiorentina,Monza,prestito,1,-1,1,0.05,equilibrato
Laerte Tognetti,ACF Fiorentina,svincolato,definitivo,1,0,0,0.0,equilibrato
Daniele Rugani,ACF Fiorentina,Juventus,prestito,1,1,1,0.05,equilibrato
Jack Harrison,ACF Fiorentina,Leeds,prestito,1,0,1,0.0,equilibrato
Manor Solomon,ACF Fiorentina,Tottenham,prestito,1,0,1,0.0,equilibrato
David Puczka,Genoa CFC,Juve Next Gen,definitivo,1,0,0,0.0,equilibrato
Djibril Sow,Genoa CFC,Siviglia,definitivo,1,0,0,0.0,equilibrato
Franz-Ethan Meichtry,Genoa CFC,FC Thun,definitivo,1,0,0,0.0,equilibrato
Samuel Wiafe,Genoa CFC,Modena,definitivo,1,0,0,0.0,equilibrato
Elias Havel,Genoa CFC,TSV Hartberg,definitivo,1,0,0,0.0,equilibrato
Hamed Traoré,Genoa CFC,Marsiglia,prestito,1,0,1,0.0,equilibrato
Mario Mitaj,Genoa CFC,Al-Ittihad,prestito,1,0,1,0.0,equilibrato
Marcelo Vaz,Genoa CFC,Varesina,definitivo,1,0,0,0.0,equilibrato
Joi Nuredini,Genoa CFC,Genoa U20,definitivo,1,0,0,0.0,equilibrato
Mamedi Doucouré,Genoa CFC,Genoa U20,definitivo,1,0,0,0.0,equilibrato
David Ankeye,Genoa CFC,Zelez. Pancevo,definitivo,1,0,0,0.0,equilibrato
Alessandro Vogliacco,Genoa CFC,Cremonese,definitivo,1,-1,0,0.0,equilibrato
Ruslan Malinovskyi,Genoa CFC,Trabzonspor,definitivo,1,0,0,0.0,equilibrato
Leonardo Consiglio,Genoa CFC,Modena,definitivo,1,0,0,0.0,equilibrato
Nicola Leali,Genoa CFC,Verona,definitivo,1,0,0,0.05,pressing
Hugo Cuenca,Genoa CFC,Celta Fortuna,prestito,1,0,1,0.0,equilibrato
Alessandro Debenedetti,Genoa CFC,Cesena,prestito,1,0,1,0.0,equilibrato
Patrizio Masini,Genoa CFC,Frosinone,prestito,1,-1,1,0.05,pressing
Chec Bebel Doumbia,Genoa CFC,Rapid Bucarest,prestito,1,0,1,0.0,equilibrato
Gabriele Pessolani,Genoa CFC,Crema,prestito,1,0,1,0.0,equilibrato
Simone Calvani,Genoa CFC,Vado,prestito,1,0,1,0.0,equilibrato
Tommaso Pittino,Genoa CFC,Livorno,prestito,1,0,1,0.0,equilibrato
Lorenzo Gagliardi,Genoa CFC,Team Altamura,prestito,1,0,1,0.0,equilibrato
Gianluca Rossi,Genoa CFC,Treviso,prestito,1,0,1,0.0,equilibrato
Edoardo Meconi,Genoa CFC,Gubbio,prestito,1,0,1,0.0,equilibrato
Caleb Ekuban,Genoa CFC,svincolato,definitivo,1,0,0,0.0,equilibrato
Benjamin Siegrist,Genoa CFC,Rapid Bucarest,prestito,1,0,1,0.0,equilibrato
Nils Zätterström,Genoa CFC,Sheff Utd,prestito,1,0,1,0.0,equilibrato
Maxwel Cornet,Genoa CFC,West Ham Utd.,prestito,1,0,1,0.0,equilibrato
Jean Onana,Genoa CFC,Besiktas,prestito,1,0,1,0.0,equilibrato
Willem Geubbels,US Lecce,Paris FC,definitivo,1,1,0,0.0,equilibrato
Marco Bleve,US Lecce,Carrarese,definitivo,1,1,0,0.0,equilibrato
Plamen Penev,US Lecce,Lecce U20,definitivo,1,0,0,0.0,contropiede
Niko Kovač,US Lecce,Lecce U20,definitivo,1,0,0,0.0,contropiede
Hjalte Lærke,US Lecce,Lecce U20,definitivo,1,0,0,0.0,contropiede
Paco Esteban,US Lecce,Lecce U20,definitivo,1,0,0,0.0,contropiede
Olaf Gorter,US Lecce,Lecce U20,definitivo,1,0,0,0.0,contropiede
Francesco Camarda,US Lecce,Milan,prestito,1,1,1,0.15,pressing
Christian Früchtl,US Lecce,Salisburgo,definitivo,1,1,0,0.0,equilibrato
Giacomo Faticanti,US Lecce,Juve Next Gen,definitivo,1,1,0,0.0,equilibrato
Ylber Ramadani,US Lecce,Corum FK,definitivo,1,1,0,0.0,equilibrato
Matteo Agrimi,US Lecce,Flaminia,definitivo,1,1,0,0.0,equilibrato
Thórir Jóhann Helgason,US Lecce,Venezia,definitivo,1,0,0,0.0,equilibrato
Lameck Banda,US Lecce,Swehly,definitivo,1,1,0,0.0,equilibrato
Jasper Samooja,US Lecce,HJK Helsinki,prestito,1,1,1,0.0,equilibrato
Filip Marchwiński,US Lecce,Cracovia,prestito,1,1,1,0.0,equilibrato
Matías Pérez,US Lecce,La Serena,prestito,1,1,1,0.0,equilibrato
Marco Delle Monache,US Lecce,Pineto,prestito,1,1,1,0.0,equilibrato
Álex Sala,US Lecce,RCD Mallorca,prestito,1,1,1,0.0,equilibrato
Ed McJannet,US Lecce,Cosenza,prestito,1,1,1,0.0,equilibrato
Rareș Burnete,US Lecce,Südtirol,prestito,1,1,1,0.0,equilibrato
Walid Cheddira,US Lecce,Napoli,prestito,1,1,1,0.2,possesso
Riccardo Sottil,US Lecce,Fiorentina,prestito,1,1,1,0.15,possesso
Akor Adams,Venezia FC,Siviglia,definitivo,1,1,0,0.0,equilibrato
Albion Rrahmani,Venezia FC,Sparta Praga,definitivo,1,1,0,0.0,equilibrato
Armel Bella-Kotchap,Venezia FC,Verona,definitivo,1,1,0,0.05,pressing
Redouane Halhal,Venezia FC,KV Mechelen,definitivo,1,1,0,0.0,equilibrato
Kornel Lisman,Venezia FC,Lech Poznan,definitivo,1,1,0,0.0,equilibrato
Ale Gomes,Venezia FC,Real Saragozza,definitivo,1,1,0,0.0,equilibrato
Bartol Franjic,Venezia FC,Wolfsburg,definitivo,1,1,0,0.0,equilibrato
Mattia Compagnon,Venezia FC,Juve Next Gen,definitivo,1,1,0,0.0,equilibrato
Lorenzo Berardi,Venezia FC,Pescara,definitivo,1,1,0,0.0,equilibrato
Lorenzo Montipò,Venezia FC,Verona,definitivo,1,1,0,0.05,pressing
Thierry Correia,Venezia FC,Valencia,definitivo,1,1,0,0.0,equilibrato
Federico Tavernaro,Venezia FC,Vis Pesaro,definitivo,1,1,0,0.0,equilibrato
Alessio Pozzi,Venezia FC,Vis Pesaro,definitivo,1,1,0,0.0,equilibrato
Mohamed Malang Touré,Venezia FC,Venezia U19,definitivo,1,0,0,0.0,equilibrato
Issa Doumbia,Venezia FC,Sporting,definitivo,1,1,0,0.0,equilibrato
Michael Svoboda,Venezia FC,Brighton,definitivo,1,1,0,0.0,equilibrato
Nunzio Lella,Venezia FC,Verona,definitivo,1,1,0,0.05,pressing
Cheick Condé,Venezia FC,SK Beveren,definitivo,1,1,0,0.0,equilibrato
Stefano Minelli,Venezia FC,Desenzano,definitivo,1,1,0,0.0,equilibrato
Giorgio Altare,Venezia FC,Pescara,definitivo,1,1,0,0.0,equilibrato
Giovanni Di Renzo,Venezia FC,Pineto,definitivo,1,1,0,0.0,equilibrato
Lorenzo Busato,Venezia FC,Sandonà,definitivo,1,1,0,0.0,equilibrato
Bjarki Bjarkason,Venezia FC,Südtirol,definitivo,1,1,0,0.0,equilibrato
Simone Ascione,Venezia FC,Vis Pesaro,definitivo,1,1,0,0.0,equilibrato
Ahmed Sidibé,Venezia FC,Vit. Guimarães,prestito,1,1,1,0.0,equilibrato
Michael Venturi,Venezia FC,Avellino,prestito,1,1,1,0.0,equilibrato
Seid Korac,Venezia FC,Verona,prestito,1,1,1,0.05,pressing
Daniel Fila,Venezia FC,Avellino,prestito,1,1,1,0.0,equilibrato
Kevin Cannavò,Venezia FC,Spezia,prestito,1,0,1,0.0,equilibrato
Alessandro Plizzari,Venezia FC,Südtirol,prestito,1,1,1,0.0,equilibrato
Marco Ladisa,Venezia FC,Trento,prestito,1,1,1,0.0,equilibrato
Alessandro Pietrelli,Venezia FC,Juve Next Gen,prestito,1,1,1,0.0,equilibrato
Romano Schmid,Frosinone Calcio,Werder Brema,definitivo,1,1,0,0.0,equilibrato
Aleksa Terzić,Frosinone Calcio,Salisburgo,definitivo,1,1,0,0.0,equilibrato
Omar Fayed,Frosinone Calcio,Fenerbahce,definitivo,1,1,0,0.0,equilibrato
Giacomo Calò,Frosinone Calcio,Cesena,definitivo,1,1,0,0.0,equilibrato
Florian Grillitsch,Frosinone Calcio,SC Braga,definitivo,1,1,0,0.0,equilibrato
Kevin Akpoguma,Frosinone Calcio,Hoffenheim,definitivo,1,1,0,0.0,equilibrato
Anouar El Azzouzi,Frosinone Calcio,Düsseldorf,definitivo,1,1,0,0.0,equilibrato
Sebastiano Desplanches,Frosinone Calcio,Palermo,prestito,1,1,1,0.0,equilibrato
Muhammed Colley,Frosinone Calcio,Frosinone U19,definitivo,1,0,0,0.05,pressing
Alejandro Cichero,Frosinone Calcio,Frosinone U19,definitivo,1,0,0,0.05,pressing
Davide Biraschi,Frosinone Calcio,Karagümrük,definitivo,1,1,0,0.0,equilibrato
Edoardo Masciangelo,Frosinone Calcio,Catania,definitivo,1,1,0,0.0,equilibrato
Riccardo Marchizza,Frosinone Calcio,Vicenza,definitivo,1,1,0,0.0,equilibrato
Sergio Kalaj,Frosinone Calcio,Spezia,definitivo,1,0,0,0.0,equilibrato
Abdoulie Ndow,Frosinone Calcio,Spezia,definitivo,1,0,0,0.0,equilibrato
Alessandro Selvini,Frosinone Calcio,Pineto,definitivo,1,1,0,0.0,equilibrato
Lorenzo Gori,Frosinone Calcio,Grosseto,prestito,1,1,1,0.0,equilibrato
Jacopo Gelli,Frosinone Calcio,Cesena,prestito,1,1,1,0.0,equilibrato
Edoardo Vergani,Frosinone Calcio,svincolato,definitivo,1,1,0,0.0,equilibrato
Antonio Fiori,Frosinone Calcio,Mantova,prestito,1,1,1,0.0,equilibrato
Massimo Zilli,Frosinone Calcio,Cosenza,prestito,1,1,1,0.0,equilibrato
Gustavo Varela,AC Monza,Benfica B,definitivo,1,1,0,0.0,equilibrato
Idrissa Touré,AC Monza,Pisa,definitivo,1,1,0,0.0,equilibrato
Foe Ondoa,AC Monza,Estoril U23,definitivo,1,1,0,0.0,equilibrato
Ricardo Mangas,AC Monza,Sporting,prestito,1,1,1,0.0,equilibrato
Jay Robinson,AC Monza,Southampton,prestito,1,1,1,0.0,equilibrato
Mathis Mout,AC Monza,Monza U20,definitivo,1,0,0,0.05,equilibrato
Hernani,AC Monza,Palermo,definitivo,1,1,0,0.0,equilibrato
Luca Ravanelli,AC Monza,Sampdoria,definitivo,1,1,0,0.0,equilibrato
Mirko Marić,AC Monza,NK Lokomotiva,definitivo,1,1,0,0.0,equilibrato
Paulo Azzi,AC Monza,Modena,definitivo,1,1,0,0.0,equilibrato
Andrea Petagna,AC Monza,Pisa,definitivo,1,1,0,0.0,equilibrato
Arvid Brorsson,AC Monza,Raków,definitivo,1,1,0,0.0,equilibrato
Alessandro Sorrentino,AC Monza,Padova,definitivo,1,1,0,0.0,equilibrato
Samuele Capolupo,AC Monza,Spezia,prestito,1,0,1,0.0,equilibrato
Pedro Obiang,AC Monza,AC Monza,definitivo,1,0,0,0.05,equilibrato
Giuseppe Caso,AC Monza,Modena,prestito,1,1,1,0.0,equilibrato
